x,y,z
3.201975363281261977e-01,9.579779530675625043e-03,6.980205324530115440e-01
3.301800176134330744e-01,1.015540795983493894e-02,6.978838463843183293e-01
3.202934018644189029e-01,1.162290080774996785e-02,6.975655459418030890e-01
3.302682830020134408e-01,1.231243169209784299e-02,6.974035051026745702e-01
3.204367742109687778e-01,1.409846724165730175e-02,6.970142330282385057e-01
3.304011608183742288e-01,1.491965543898507440e-02,6.968228868977360824e-01
3.206522272415470720e-01,1.709491057244120343e-02,6.963468833749520970e-01
3.306024547679283776e-01,1.806571931062392333e-02,6.961222356382115173e-01
3.209778633655684388e-01,2.071684392064723074e-02,6.955401721922365166e-01
3.309094667511395804e-01,2.185467886857020425e-02,6.952783513211456823e-01
3.214730390519197623e-01,2.508693131707530680e-02,6.945667374094219859e-01
3.313806484454138168e-01,2.640888301900233201e-02,6.942639427854359058e-01
3.222298673978684636e-01,3.034691048660891760e-02,6.933949421445702033e-01
3.321066259327974390e-01,3.187281279003184586e-02,6.930467635964822071e-01
3.233885523406879181e-01,3.665579280294237186e-02,6.919892624088684885e-01
3.332241879140676044e-01,3.841644860738832601e-02,6.915888503781366659e-01
3.251534713890886219e-01,4.418131207893787743e-02,6.903121773346708734e-01
3.349296748568041382e-01,4.623300330916528533e-02,6.898470161379359755e-01
3.278022792578483835e-01,5.308092399475718148e-02,6.883283919400593476e-01
3.374840704387160328e-01,5.552191697474221505e-02,6.877766321740922395e-01
3.316834417040988026e-01,6.347398387691573218e-02,6.860110339349394515e-01
3.412068256758926665e-01,6.644976757314755011e-02,6.853403367068678920e-01
3.372145347702302787e-01,7.539985550752675847e-02,6.833509823690251395e-01
3.464732913155132987e-01,7.908614144256084777e-02,6.825223156940081193e-01
3.448675500220293455e-01,8.872075038136652270e-02,6.803785132966758686e-01
3.537028591765795094e-01,9.329091875290120017e-02,6.793534091708637312e-01
3.550126738337899823e-01,1.029675672832054689e-01,6.771977574095975339e-01
3.632501223444858929e-01,1.085001601809311295e-01,6.759588771173046240e-01
3.675310469813782288e-01,1.173207209773070581e-01,6.739912991872691883e-01
3.752195971000504837e-01,1.235607194135611986e-01,6.725953816376050165e-01
3.817052365286102145e-01,1.309892100607945031e-01,6.709358698621193939e-01
3.893614481889207113e-01,1.372669755715007212e-01,6.695315709719172892e-01
3.970539965574823582e-01,1.435022779473004995e-01,6.681366955977234845e-01
4.051760012331422356e-01,1.491951460466306445e-01,6.668622281255681683e-01
4.135728684208818118e-01,1.544945245869410455e-01,6.656751375701414064e-01
4.222528707752219446e-01,1.593398940712038026e-01,6.645888917082859448e-01
4.311844494415142393e-01,1.637282030713812786e-01,6.636041968922938850e-01
